State,Does State Law Provide Unemployment Insurance Benefits to Domestic Violence Victims?,Does the State Have an Employment Rights Law for Victims of Domestic Violence?,Does the State Have a General Crime Victim Protection Law?
Alabama,No,No,Yes
Alaska,Yes,No,Yes
Arizona,Yes,No,Yes
Arkansas,Yes,No,Yes
California,Yes,Yes,Yes
Colorado,Yes,Yes,Yes
Connecticut,Yes,Yes,Yes
Delaware,Yes,No,Yes
District of Columbia,Yes,Yes,No
Florida,No,Yes,Yes
Georgia,No,No,Yes
Hawaii,Yes,Yes,Yes
Idaho,No,No,No
Illinois,Yes,Yes,No
Indiana,Yes,No,No
Iowa,No,No,Yes
Kansas,Yes,Yes,No
Kentucky,No,No,No
Louisiana,No,No,No
Maine,Yes,Yes,No
Maryland,Yes,No,Yes
Massachusetts,Yes,No,Yes
Michigan,No,No,Yes
Minnesota,Yes,No,Yes
Mississippi,No,No,Yes
Missouri,No,No,Yes
Montana,Yes,No,Yes
Nebraska,Yes,No,No
Nevada,No,No,Yes
New Hampshire,Yes,No,Yes
New Jersey,Yes,Yes,No
New Mexico,Yes,Yes,No
New York,Yes,Yes,Yes
North Carolina,No,Yes,No
North Dakota,Yes,No,Yes
Ohio,No,No,Yes
Oklahoma,Yes,No,No
Oregon,Yes,Yes,No
Pennsylvania,No,No,Yes
Rhode Island,Yes,Yes,Yes
South Carolina,Yes,No,Yes
South Dakota,Yes,No,No
Tennessee,No,No,Yes
Texas,Yes,No,No
Utah,No,No,Yes
Vermont,Yes,No,Yes
Virginia,No,No,Yes
Washington,Yes,Yes,No
West Virginia,No,No,No
Wisconsin,Yes,No,Yes
Wyoming,Yes,No,Yes
